,distance_function,mask,prealign,preprocess,postprocess,postalign,cam,eer
445,hd,edge,id,hist,skel,CoM,2,0.227
446,hd,edge,trans,id,skel,id,1,0.227
447,rsd,fing,trans,hist,skel,CoM,1,0.227
448,rsd,fing,h + f,id,skel,id,2,0.227
449,hd,edge,huang,id,skel,CoM,1,0.229
450,rsd,edge,trans,hist,id,CoM,2,0.229
451,rsd,edge,h + f,id,id,CoM,2,0.229
452,rsd,edge,id,id,skel,CoM,2,0.229
453,rsd,fing,h + f,hist,id,id,2,0.229
454,rsd,fing,trans,hist,id,id,1,0.23
455,hd,edge,h + f,id,skel,CoM,1,0.23
456,miura,fing,trans,hist,skel,id,1,0.231
457,rsd,fing,h + f,hist,skel,CoM,1,0.231
458,rsd,fing,huang,hist,skel,CoM,1,0.231
459,hd,edge,trans,hist,skel,CoM,2,0.231
460,hd,fing,trans,id,skel,id,2,0.231
461,rsd,edge,trans,id,skel,CoM,2,0.231
462,skel,fing,id,hist,id,id,2,0.232
463,hd,fing,h + f,id,id,miura,2,0.232
464,rsd,fing,trans,id,id,id,2,0.232
465,rsd,fing,id,hist,skel,CoM,1,0.232
466,skel,fing,id,id,id,id,2,0.232
467,rsd,edge,huang,id,skel,CoM,2,0.234
468,rsd,edge,h + f,id,skel,CoM,2,0.234
469,hd,fing,id,hist,id,miura,2,0.234
470,miura,fing,huang,id,skel,id,1,0.236
471,rsd,fing,trans,hist,skel,CoM,2,0.236
472,rsd,fing,h + f,hist,skel,CoM,2,0.236
473,hd,fing,id,id,skel,id,1,0.236
474,rsd,edge,id,id,skel,id,1,0.236
475,miura,fing,h + f,id,id,id,2,0.237
476,rsd,fing,trans,id,skel,id,1,0.237
477,hd,fing,huang,id,id,miura,2,0.237
478,miura,fing,h + f,id,skel,id,1,0.239
479,hd,edge,h + f,hist,skel,CoM,2,0.239
480,rsd,fing,huang,id,id,id,2,0.239
481,hd,fing,huang,id,skel,id,2,0.239
482,rsd,fing,huang,id,id,id,1,0.239
483,rsd,fing,id,hist,skel,CoM,2,0.239
484,hd,edge,trans,id,skel,CoM,1,0.24
485,hd,fing,h + f,id,skel,id,1,0.24
486,skel,fing,id,hist,skel,id,1,0.24
487,miura,fing,trans,hist,id,id,1,0.24
488,rsd,fing,h + f,id,id,id,1,0.24
489,miura,edge,trans,id,id,CoM,2,0.24
490,rsd,fing,huang,hist,skel,CoM,2,0.24
